4 1 || 05 || 05 || 1
9 3 || 0c || 0c || 1
d d || 1a || 1a || 1
5 2 || 07 || 07 || 1
1 d || 0e || 0e || 1
6 d || 13 || 13 || 1
d c || 19 || 19 || 1
9 6 || 0f || 0f || 1
5 a || 0f || 0f || 1
5 7 || 0c || 0c || 1
2 f || 11 || 11 || 1
2 e || 10 || 10 || 1
8 5 || 0d || 0d || 1
c d || 19 || 19 || 1
d 5 || 12 || 12 || 1
3 a || 0d || 0d || 1
0 0 || 00 || 00 || 1
a d || 17 || 17 || 1
6 3 || 09 || 09 || 1
d 3 || 10 || 10 || 1
b 5 || 10 || 10 || 1
2 e || 10 || 10 || 1
d f || 1c || 1c || 1
3 a || 0d || 0d || 1
a c || 16 || 16 || 1
2 a || 0c || 0c || 1
1 8 || 09 || 09 || 1
8 9 || 11 || 11 || 1
b 6 || 11 || 11 || 1
6 e || 14 || 14 || 1
c a || 16 || 16 || 1
b 1 || 0c || 0c || 1
5 f || 14 || 14 || 1
b a || 15 || 15 || 1
e 5 || 13 || 13 || 1
1 9 || 0a || 0a || 1
2 c || 0e || 0e || 1
f f || 1e || 1e || 1
8 7 || 0f || 0f || 1
f c || 1b || 1b || 1
b 9 || 14 || 14 || 1
9 0 || 09 || 09 || 1
7 1 || 08 || 08 || 1
6 c || 12 || 12 || 1
2 8 || 0a || 0a || 1
7 d || 14 || 14 || 1
2 e || 10 || 10 || 1
d 9 || 16 || 16 || 1
f 3 || 12 || 12 || 1
5 8 || 0d || 0d || 1
b 9 || 14 || 14 || 1
f a || 19 || 19 || 1
8 6 || 0e || 0e || 1
e c || 1a || 1a || 1
a 6 || 10 || 10 || 1
3 3 || 06 || 06 || 1
f 3 || 12 || 12 || 1
f 4 || 13 || 13 || 1
7 b || 12 || 12 || 1
6 a || 10 || 10 || 1
9 d || 16 || 16 || 1
a 5 || 0f || 0f || 1
5 f || 14 || 14 || 1
9 4 || 0d || 0d || 1
0 a || 0a || 0a || 1
b e || 19 || 19 || 1
c a || 16 || 16 || 1
d 3 || 10 || 10 || 1
6 e || 14 || 14 || 1
7 a || 11 || 11 || 1
6 8 || 0e || 0e || 1
9 8 || 11 || 11 || 1
4 3 || 07 || 07 || 1
4 9 || 0d || 0d || 1
b d || 18 || 18 || 1
9 d || 16 || 16 || 1
6 a || 10 || 10 || 1
6 5 || 0b || 0b || 1
6 4 || 0a || 0a || 1
7 9 || 10 || 10 || 1
4 8 || 0c || 0c || 1
8 d || 15 || 15 || 1
7 e || 15 || 15 || 1
8 c || 14 || 14 || 1
d 9 || 16 || 16 || 1
c 6 || 12 || 12 || 1
a d || 17 || 17 || 1
6 0 || 06 || 06 || 1
3 a || 0d || 0d || 1
e a || 18 || 18 || 1
5 a || 0f || 0f || 1
9 7 || 10 || 10 || 1
6 0 || 06 || 06 || 1
6 6 || 0c || 0c || 1
d c || 19 || 19 || 1
6 8 || 0e || 0e || 1
e b || 19 || 19 || 1
f 9 || 18 || 18 || 1
a 1 || 0b || 0b || 1
7 1 || 08 || 08 || 1
6 0 || 06 || 06 || 1
5 5 || 0a || 0a || 1
9 1 || 0a || 0a || 1
5 8 || 0d || 0d || 1
b 3 || 0e || 0e || 1
c a || 16 || 16 || 1
e 8 || 16 || 16 || 1
9 1 || 0a || 0a || 1
e 6 || 14 || 14 || 1
f a || 19 || 19 || 1
a d || 17 || 17 || 1
e 8 || 16 || 16 || 1
9 8 || 11 || 11 || 1
a 3 || 0d || 0d || 1
b 7 || 12 || 12 || 1
6 a || 10 || 10 || 1
4 9 || 0d || 0d || 1
2 4 || 06 || 06 || 1
f 6 || 15 || 15 || 1
a 2 || 0c || 0c || 1
2 d || 0f || 0f || 1
4 4 || 08 || 08 || 1
a 9 || 13 || 13 || 1
1 e || 0f || 0f || 1
b b || 16 || 16 || 1
f 9 || 18 || 18 || 1
6 5 || 0b || 0b || 1
f b || 1a || 1a || 1
8 e || 16 || 16 || 1
b 2 || 0d || 0d || 1
8 d || 15 || 15 || 1
b 2 || 0d || 0d || 1
e d || 1b || 1b || 1
c 8 || 14 || 14 || 1
1 6 || 07 || 07 || 1
1 b || 0c || 0c || 1
8 3 || 0b || 0b || 1
6 b || 11 || 11 || 1
2 4 || 06 || 06 || 1
3 8 || 0b || 0b || 1
2 8 || 0a || 0a || 1
9 5 || 0e || 0e || 1
1 b || 0c || 0c || 1
1 8 || 09 || 09 || 1
7 1 || 08 || 08 || 1
f 4 || 13 || 13 || 1
8 6 || 0e || 0e || 1
4 2 || 06 || 06 || 1
6 1 || 07 || 07 || 1
5 d || 12 || 12 || 1
b 5 || 10 || 10 || 1
d 7 || 14 || 14 || 1
4 7 || 0b || 0b || 1
7 9 || 10 || 10 || 1
9 b || 14 || 14 || 1
9 1 || 0a || 0a || 1
1 a || 0b || 0b || 1
a 5 || 0f || 0f || 1
3 c || 0f || 0f || 1
